"Finding_ID","Type","CVSS_Score","Remediation_Days","Exploitability_Index","Dependency_Depth","Cluster_Group","Severity"
"VULN-1001","DAST",5.2,32,0.88,0,"GAM Smooth Flow","Medium"
"VULN-1002","DAST",5,22,0.75,0,"GAM Smooth Flow","Medium"
"VULN-1003","DAST",1.9,9,0.29,0,"GAM Smooth Flow","Low"
"VULN-1004","DAST",0.6,3,0.38,0,"GAM Smooth Flow","Low"
"VULN-1005","DAST",1.9,10,0.19,0,"GAM Smooth Flow","Low"
"VULN-1006","DAST",7.5,49,0.73,0,"GAM Smooth Flow","High"
"VULN-1007","DAST",1.7,9,0.41,0,"GAM Smooth Flow","Low"
"VULN-1008","DAST",7.9,49,0.89,0,"GAM Smooth Flow","High"
"VULN-1009","DAST",7.8,48,1,0,"GAM Smooth Flow","High"
"VULN-1010","DAST",8,50,0.86,0,"GAM Smooth Flow","High"
"VULN-1011","DAST",7,45,1,0,"GAM Smooth Flow","High"
"VULN-1012","DAST",7,43,0.86,0,"GAM Smooth Flow","High"
"VULN-1013","DAST",1.4,9,0.51,0,"GAM Smooth Flow","Low"
"VULN-1014","DAST",8.9,57,1,0,"GAM Smooth Flow","High"
"VULN-1015","DAST",9.3,58,1,0,"GAM Smooth Flow","Critical"
"VULN-1016","DAST",8.8,61,0.88,0,"GAM Smooth Flow","High"
"VULN-1017","DAST",2.7,15,0.32,0,"GAM Smooth Flow","Low"
"VULN-1018","DAST",2.7,15,0.53,0,"GAM Smooth Flow","Low"
"VULN-1019","DAST",7.6,48,1,0,"GAM Smooth Flow","High"
"VULN-1020","DAST",7.5,43,0.99,0,"GAM Smooth Flow","High"
"VULN-1021","DAST",5.1,30,0.83,0,"GAM Smooth Flow","Medium"
"VULN-1022","DAST",8.4,54,0.73,0,"GAM Smooth Flow","High"
"VULN-1023","DAST",9.1,60,0.95,0,"GAM Smooth Flow","Critical"
"VULN-1024","DAST",8.4,53,0.71,0,"GAM Smooth Flow","High"
"VULN-1025","DAST",5,28,0.59,0,"GAM Smooth Flow","Medium"
"VULN-1026","DAST",6.9,42,0.83,0,"GAM Smooth Flow","Medium"
"VULN-1027","DAST",4.6,23,0.7,0,"GAM Smooth Flow","Medium"
"VULN-1028","DAST",7.5,48,0.68,0,"GAM Smooth Flow","High"
"VULN-1029","DAST",3.2,18,0.82,0,"GAM Smooth Flow","Low"
"VULN-1030","DAST",7.8,47,0.89,0,"GAM Smooth Flow","High"
"VULN-1031","DAST",2.9,12,0.75,0,"GAM Smooth Flow","Low"
"VULN-1032","DAST",1.4,8,0.21,0,"GAM Smooth Flow","Low"
