"Agent_ID","Cluster","Team_Size","Sprint_Length_Weeks","Commit_Frequency_Per_Day","Security_Debt","Vulnerabilities_Open","Automated_Scan_Coverage","Predicted_Security_Debt","Residual_Error"
1,"Cluster 2",23,1,10,39.04,17,61,41.75,-2.71
2,"Cluster 3",50,2,1,69.62,31,44,71.42,-1.8
3,"Cluster 1",10,2,17,21.3,11,80,22.87,-1.57
4,"Cluster 3",48,2,4,74.21,32,40,73.87,0.34
5,"Cluster 3",53,2,2,74.35,30,46,69.67,4.68
6,"Cluster 2",27,1,8,52.42,22,55,49.37,3.05
7,"Cluster 1",12,2,12,16.96,7,96,15.8,1.16
8,"Cluster 3",52,2,4,81.99,33,33,78.29,3.7
9,"Cluster 1",9,2,16,17.19,7,91,16.04,1.15
10,"Cluster 1",13,4,16,12.81,8,87,15.76,-2.95
11,"Cluster 3",53,2,5,70.31,33,52,71.46,-1.15
12,"Cluster 1",6,2,14,19.69,13,81,22.6,-2.91
13,"Cluster 1",7,3,13,23.47,12,75,22.99,0.48
14,"Cluster 1",10,2,16,23.2,11,82,21.92,1.28
15,"Cluster 2",28,1,6,36.26,18,69,43.03,-6.77
16,"Cluster 3",54,2,3,79.04,36,37,79.04,0
17,"Cluster 2",24,1,6,44.39,19,59,45,-0.61
18,"Cluster 2",24,1,6,47.29,21,56,47.11,0.18
19,"Cluster 2",17,2,10,47.79,23,64,46.46,1.33
20,"Cluster 3",47,3,1,74.24,30,50,70.92,3.32
21,"Cluster 3",53,2,3,74.84,31,44,72.17,2.67
22,"Cluster 1",9,2,12,16.06,10,83,19.08,-3.02
23,"Cluster 1",9,2,18,12.69,6,95,14.56,-1.87
24,"Cluster 3",42,2,2,72.28,32,50,72.16,0.12
25,"Cluster 1",6,2,17,21.91,9,78,21.07,0.84
26,"Cluster 1",13,2,13,21.02,10,94,18.29,2.73
27,"Cluster 1",8,1,16,8.87,8,86,16.61,-7.74
28,"Cluster 1",4,1,17,19.3,11,82,21.5,-2.2
29,"Cluster 2",22,1,8,46.63,21,61,47.04,-0.41
30,"Cluster 2",28,1,7,40.02,20,73,41.11,-1.09
31,"Cluster 3",44,2,4,75.64,31,42,73.2,2.44
32,"Cluster 3",48,1,4,81.12,34,36,79.53,1.59
33,"Cluster 1",13,2,19,28.28,14,66,27.59,0.69
34,"Cluster 3",50,1,3,76.23,34,44,75.82,0.41
35,"Cluster 2",23,2,9,43.24,21,66,44.4,-1.16
36,"Cluster 1",4,2,12,13.28,9,86,17.61,-4.33
37,"Cluster 3",51,2,2,80.89,35,30,80.75,0.14
38,"Cluster 2",24,2,9,43.57,22,55,48.23,-4.66
39,"Cluster 2",25,2,10,52.12,25,51,51.81,0.31
40,"Cluster 2",32,1,8,44.03,20,57,44.64,-0.61
41,"Cluster 2",23,2,7,35.76,19,65,42,-6.24
42,"Cluster 1",12,2,13,21.74,10,86,19.85,1.89
43,"Cluster 1",13,2,15,18.72,12,92,19.34,-0.62
44,"Cluster 2",28,1,7,50.01,24,62,50,0.01
45,"Cluster 2",22,2,9,34.63,16,72,37.62,-2.99
46,"Cluster 2",26,2,8,48.38,23,66,47.22,1.16
47,"Cluster 2",30,3,4,50.29,21,59,48.11,2.18
48,"Cluster 1",12,2,15,23.73,14,86,22.38,1.35
49,"Cluster 2",27,1,13,50.94,22,60,46.68,4.26
50,"Cluster 3",43,4,2,91.15,37,29,80.51,10.64
51,"Cluster 2",30,2,9,44.34,20,64,45.37,-1.03
52,"Cluster 1",10,2,15,26.08,12,78,23.35,2.73
53,"Cluster 3",52,2,4,78.7,34,39,77.6,1.1
54,"Cluster 2",28,2,8,52.66,22,65,47.49,5.17
55,"Cluster 1",5,2,16,17.38,9,87,17.65,-0.27
56,"Cluster 2",31,1,7,44.98,19,63,43.9,1.08
57,"Cluster 2",27,2,8,50.43,25,53,51.42,-0.99
58,"Cluster 3",48,2,1,79.78,34,33,80.02,-0.24
59,"Cluster 3",51,1,5,69.52,30,44,70.76,-1.24
60,"Cluster 2",27,2,7,47.33,20,65,46.15,1.18
61,"Cluster 1",11,3,17,16.05,7,89,15.42,0.63
62,"Cluster 2",25,1,12,44.55,20,64,43.91,0.64
63,"Cluster 2",17,2,8,35.61,15,73,35.6,0.01
